ID,index,UMAP1,UMAP2,Cluster,center_x,center_y
A_PuertoRico_8_1934_PB2_32_263,39022,-0.443107932806015,-2.3198156356811523,2,2.306359480575138,-4.911716651676127
A_PuertoRico_8_1934_PB2_34_224,43528,-0.7400767803192139,-2.0861260890960693,2,2.306359480575138,-4.911716651676127
A_PuertoRico_8_1934_PB2_35_2038,47613,14.829839706420898,3.10548734664917,0,13.572316374106514,3.294343661956833
A_PuertoRico_8_1934_PB2_57_2139,97423,13.833280563354492,0.24288922548294067,0,13.572316374106514,3.294343661956833
A_PuertoRico_8_1934_PB2_57_2156,97440,13.089371681213379,-0.23875591158866882,0,13.572316374106514,3.294343661956833
A_PuertoRico_8_1934_PB2_58_2124,99656,14.107946395874023,0.5873371362686157,0,13.572316374106514,3.294343661956833
A_PuertoRico_8_1934_PB2_58_2153,99685,13.187411308288574,-0.19686318933963776,0,13.572316374106514,3.294343661956833
A_PuertoRico_8_1934_PB2_60_2162,104187,12.80299186706543,-0.3708989918231964,0,13.572316374106514,3.294343661956833
A_PuertoRico_8_1934_PB2_61_2199,106469,12.264650344848633,-1.21955144405365,0,13.572316374106514,3.294343661956833
A_PuertoRico_8_1934_PB2_65_2139,115379,13.751173973083496,0.34906554222106934,0,13.572316374106514,3.294343661956833
A_PuertoRico_8_1934_PB2_65_2152,115392,13.095602989196777,-0.09267128258943558,0,13.572316374106514,3.294343661956833
A_PuertoRico_8_1934_PB2_66_1895,117375,14.80335521697998,7.726880073547363,0,13.572316374106514,3.294343661956833
A_PuertoRico_8_1934_PB2_71_2033,128698,15.12421989440918,3.546041488647461,0,13.572316374106514,3.294343661956833
A_PuertoRico_8_1934_PB2_73_1894,133026,14.816605567932129,7.787691116333008,0,13.572316374106514,3.294343661956833
A_PuertoRico_8_1934_PB2_74_1868,135232,14.700582504272461,8.67766284942627,0,13.572316374106514,3.294343661956833
A_PuertoRico_8_1934_PB2_82_144,151328,-1.3003196716308594,-3.415661573410034,2,2.306359480575138,-4.911716651676127
A_PuertoRico_8_1934_PB2_82_2095,153279,14.585578918457031,1.8177244663238525,0,13.572316374106514,3.294343661956833
A_PuertoRico_8_1934_PB2_82_2104,153288,14.440483093261719,1.5801020860671997,0,13.572316374106514,3.294343661956833
A_PuertoRico_8_1934_PB2_83_145,153552,-1.3084795475006104,-3.4209258556365967,2,2.306359480575138,-4.911716651676127
A_PuertoRico_8_1934_PB2_83_168,153575,-1.2161242961883545,-3.1102752685546875,2,2.306359480575138,-4.911716651676127
A_PuertoRico_8_1934_PB2_83_2157,155564,12.834089279174805,-0.15376392006874084,0,13.572316374106514,3.294343661956833
A_PuertoRico_8_1934_PB2_84_110,155739,-1.4902313947677612,-3.568490505218506,2,2.306359480575138,-4.911716651676127
A_PuertoRico_8_1934_PB2_84_2006,157635,15.229580879211426,4.811089515686035,0,13.572316374106514,3.294343661956833
A_PuertoRico_8_1934_PB2_84_2026,157655,15.254168510437012,4.045707702636719,0,13.572316374106514,3.294343661956833
A_PuertoRico_8_1934_PB2_84_2053,157682,15.057842254638672,2.773148775100708,0,13.572316374106514,3.294343661956833
A_PuertoRico_8_1934_PB2_84_2070,157699,14.875188827514648,2.3678314685821533,0,13.572316374106514,3.294343661956833
A_PuertoRico_8_1934_PB2_84_2139,157768,13.493326187133789,0.4451292157173157,0,13.572316374106514,3.294343661956833
A_PuertoRico_8_1934_PB2_84_2152,157781,12.979765892028809,0.0020793811418116093,0,13.572316374106514,3.294343661956833
A_PuertoRico_8_1934_PB2_84_2159,157788,12.813128471374512,-0.19851724803447723,0,13.572316374106514,3.294343661956833
A_PuertoRico_8_1934_PB2_84_2171,157800,12.607885360717773,-0.5299678444862366,0,13.572316374106514,3.294343661956833
A_PuertoRico_8_1934_PB2_84_2181,157810,12.557501792907715,-0.8225700259208679,0,13.572316374106514,3.294343661956833
