index,ID,UMAP1,UMAP2,Cluster,centroid_x,centroid_y
0,A_PuertoRico_8_1934_HA_100_1534,1.2342874,4.4418993,-1,,
1,A_PuertoRico_8_1934_HA_100_1564,9.138746,1.5378485,2,8.774298503727458,0.6506414382925336
2,A_PuertoRico_8_1934_HA_100_1572,1.5576541,4.2043004,-1,,
3,A_PuertoRico_8_1934_HA_101_1543,9.049531,5.048499,1,9.178804194226759,4.919820999855275
4,A_PuertoRico_8_1934_HA_1024_1126,3.6357388,5.641836,-1,,
5,A_PuertoRico_8_1934_HA_1025_1675,2.7580373,4.7376356,9,3.126145773457114,5.004300438492666
6,A_PuertoRico_8_1934_HA_102_1471,2.8997083,4.753828,9,3.126145773457114,5.004300438492666
7,A_PuertoRico_8_1934_HA_102_1500,2.9657207,4.811671,9,3.126145773457114,5.004300438492666
8,A_PuertoRico_8_1934_HA_102_1515,2.9612536,4.703818,9,3.126145773457114,5.004300438492666
9,A_PuertoRico_8_1934_HA_103_1447,9.235175,4.9279985,1,9.178804194226759,4.919820999855275
10,A_PuertoRico_8_1934_HA_103_1453,9.271351,4.9001603,1,9.178804194226759,4.919820999855275
11,A_PuertoRico_8_1934_HA_103_1470,9.443954,5.2433777,1,9.178804194226759,4.919820999855275
12,A_PuertoRico_8_1934_HA_103_1507,9.256185,4.9728174,1,9.178804194226759,4.919820999855275
13,A_PuertoRico_8_1934_HA_103_1518,9.251197,5.0264583,1,9.178804194226759,4.919820999855275
14,A_PuertoRico_8_1934_HA_103_1538,9.463803,4.871082,1,9.178804194226759,4.919820999855275
15,A_PuertoRico_8_1934_HA_103_1547,9.535921,4.887017,1,9.178804194226759,4.919820999855275
16,A_PuertoRico_8_1934_HA_103_1551,9.340995,5.151713,1,9.178804194226759,4.919820999855275
17,A_PuertoRico_8_1934_HA_103_1560,9.249075,5.001658,1,9.178804194226759,4.919820999855275
18,A_PuertoRico_8_1934_HA_103_1581,9.364655,5.150838,1,9.178804194226759,4.919820999855275
19,A_PuertoRico_8_1934_HA_103_1598,9.381958,5.014023,1,9.178804194226759,4.919820999855275
20,A_PuertoRico_8_1934_HA_103_1613,9.377975,5.014111,1,9.178804194226759,4.919820999855275
21,A_PuertoRico_8_1934_HA_104_128,3.5136619,4.929582,-1,,
22,A_PuertoRico_8_1934_HA_104_1462,3.423719,4.8926663,9,3.126145773457114,5.004300438492666
23,A_PuertoRico_8_1934_HA_104_1488,3.472738,4.9958644,9,3.126145773457114,5.004300438492666
24,A_PuertoRico_8_1934_HA_104_1571,3.5145977,4.8710747,-1,,
25,A_PuertoRico_8_1934_HA_104_1604,3.3947384,4.9614935,9,3.126145773457114,5.004300438492666
26,A_PuertoRico_8_1934_HA_104_1632,3.407207,4.9023204,9,3.126145773457114,5.004300438492666
27,A_PuertoRico_8_1934_HA_105_1529,3.1279151,4.9482107,9,3.126145773457114,5.004300438492666
28,A_PuertoRico_8_1934_HA_105_1541,3.680233,0.2688012,3,3.2712777104062303,0.9207669336729571
29,A_PuertoRico_8_1934_HA_106_1487,8.94377,5.297756,1,9.178804194226759,4.919820999855275
30,A_PuertoRico_8_1934_HA_106_1570,9.151856,5.300036,1,9.178804194226759,4.919820999855275
31,A_PuertoRico_8_1934_HA_106_1573,9.101578,5.295778,1,9.178804194226759,4.919820999855275
32,A_PuertoRico_8_1934_HA_106_1574,9.142686,5.2693977,1,9.178804194226759,4.919820999855275
33,A_PuertoRico_8_1934_HA_106_1575,9.12519,5.256181,1,9.178804194226759,4.919820999855275
34,A_PuertoRico_8_1934_HA_106_1581,9.2046175,5.2786646,1,9.178804194226759,4.919820999855275
35,A_PuertoRico_8_1934_HA_106_1602,9.127472,5.2832975,1,9.178804194226759,4.919820999855275
36,A_PuertoRico_8_1934_HA_106_1616,9.160128,5.4323363,1,9.178804194226759,4.919820999855275
37,A_PuertoRico_8_1934_HA_107_1496,3.4726787,5.292117,9,3.126145773457114,5.004300438492666
38,A_PuertoRico_8_1934_HA_107_1506,3.564954,5.1884465,9,3.126145773457114,5.004300438492666
39,A_PuertoRico_8_1934_HA_107_1536,3.2106152,5.272265,9,3.126145773457114,5.004300438492666
40,A_PuertoRico_8_1934_HA_107_1544,3.4653497,5.3111954,9,3.126145773457114,5.004300438492666
41,A_PuertoRico_8_1934_HA_107_1546,3.3590713,5.435873,9,3.126145773457114,5.004300438492666
42,A_PuertoRico_8_1934_HA_107_1548,3.3699112,5.303104,9,3.126145773457114,5.004300438492666
43,A_PuertoRico_8_1934_HA_107_1566,3.146934,5.1833353,9,3.126145773457114,5.004300438492666
44,A_PuertoRico_8_1934_HA_107_1594,3.3040712,5.3451586,9,3.126145773457114,5.004300438492666
45,A_PuertoRico_8_1934_HA_108_1386,1.3256559,4.329645,-1,,
46,A_PuertoRico_8_1934_HA_108_1534,1.2995836,4.4485326,-1,,
47,A_PuertoRico_8_1934_HA_108_1537,3.4013464,5.07848,9,3.126145773457114,5.004300438492666
48,A_PuertoRico_8_1934_HA_108_1546,3.4861689,5.1334805,9,3.126145773457114,5.004300438492666
49,A_PuertoRico_8_1934_HA_108_1572,1.5838779,4.285576,-1,,
50,A_PuertoRico_8_1934_HA_109_1544,9.031744,4.753517,1,9.178804194226759,4.919820999855275
51,A_PuertoRico_8_1934_HA_109_1559,3.6811755,5.2320576,9,3.126145773457114,5.004300438492666
52,A_PuertoRico_8_1934_HA_110_1389,3.7839525,2.1959763,-1,,
53,A_PuertoRico_8_1934_HA_110_1554,7.6968455,6.1769953,-1,,
54,A_PuertoRico_8_1934_HA_1112_1450,1.4094146,4.4344716,-1,,
55,A_PuertoRico_8_1934_HA_111_1451,2.4481254,1.4343551,3,3.2712777104062303,0.9207669336729571
